id_transacao,cd_cliente,dt_transacao,vl_transacao,tp_transacao,cd_estabelecimento,fl_suspeita,cd_canal
b919d187-6029-4176-a0f7-338593776d12,B6858EBD-E23,2023-11-27,13879.63,SAQUE,15879042000111,False,INTERNET
90828acf-5a38-430f-9d5e-43388b8b7482,9BA187E2-1C7,2023-02-18,23601.45,SAQUE,63782950000135,False,INTERNET
ec56b63e-78f1-4efc-bd43-65e43c80d88d,528D786B-9D9,2023-01-30,14398.65,ESTORNO,41629705000150,False,POS
56faacce-f0b6-45ee-992b-d023f85ea9b8,B281A3AB-272,2024-01-20,12470.73,SAQUE,80165237000161,False,INTERNET
97fb33f7-6b86-4a67-809a-9d9fad05cb5d,3CC187E4-44E,2024-07-16,8897.31,PAGAMENTO_BOLETO,41602978000100,False,POS
5dde17fe-c3a3-4ce9-8345-5babc31e6293,46B176BF-0B9,2023-03-19,19376.85,COMPRA,63504279000160,False,APP
010b5d52-4d30-43f0-a213-ccf747570749,A42FEAE6-A4D,2024-01-10,23666.22,SAQUE,75231490000136,False,AGENCIA
9c47eb35-e0a8-4a42-8407-9255e0127be3,BEABB55D-772,2023-07-22,20942.87,TED,97268415000182,False,APP
a74cf7cc-5468-4b7d-9a66-d9431d27f24d,1E198149-363,2024-11-02,3233.82,PIX,85427016000138,False,POS
60de9435-8401-469b-91d2-74d0558f0572,23F59E49-F89,2023-03-14,19174.01,TED,76819304000147,False,AGENCIA
f42c3d07-05e0-42de-b8d8-4b5aa97c66eb,06AF2651-80D,2024-11-06,15204.41,PAGAMENTO_BOLETO,62375918000172,False,POS
90ee39dd-97b5-4030-92f5-15e594a05db7,51806654-A9A,2023-10-30,16695.15,TED,42317056000114,False,AGENCIA
d37164b9-1073-4da0-8844-fe9050790cdc,64263BBA-0B8,2024-09-18,14209.3,PAGAMENTO_BOLETO,78123590000137,False,AGENCIA
9ff79171-09a7-413b-9a65-b7c84c8cd5ba,B281A3AB-272,2023-12-17,636.91,TED,71956480000107,False,INTERNET
28256438-c0b5-42ef-880b-a038774535a5,EDA8FD63-D39,2024-02-01,17208.69,SAQUE,50648217000180,False,APP
74c081bf-7709-4899-ade1-60a95b1dae24,044FE849-DEC,2023-11-04,11078.6,PAGAMENTO_BOLETO,52394017000174,False,AGENCIA
33c720f3-dede-46ef-8853-4e1acf0de3a1,0ACC9AE4-1DF,2024-07-26,22439.42,SAQUE,54692103000199,False,INTERNET
42ee6ee6-93b1-4135-94a0-3b5d1eb885b9,8C5E1F11-854,2023-05-15,17242.44,ESTORNO,92781356000128,False,AGENCIA
180fff84-301c-40ef-bfec-25359a3549fb,607EACB3-F2E,2023-03-05,3586.59,PIX,84360759000175,False,POS
ba1fedb3-8c9b-42eb-b7f6-f80f78fa8641,E378B378-3FE,2024-05-27,16131.48,SAQUE,,False,APP
194fa689-58bb-4beb-88de-e9775e14706e,EF04CCC3-8DC,2023-11-17,9859.85,COMPRA,80395146000112,False,POS
f6e3da17-003c-43bf-a467-63b06ae60639,CF219331-A32,2023-07-09,15729.36,COMPRA,87204356000125,False,AGENCIA
9000f14f-76c4-42dd-b68f-53c3d9c445a4,F345BD52-4A3,2024-12-28,12286.41,TED,74032156000190,False,APP
42d79395-b9a3-4922-92ef-e60ff34faf57,E1379B0F-C24,2023-02-11,20096.07,ESTORNO,32780569000103,False,ATM
