id_transacao,cd_cliente,dt_transacao,vl_transacao,tp_transacao,cd_estabelecimento,fl_suspeita,cd_canal
02007bbe-e875-43ed-a9cc-c05e3d2725ae,377C5395-E02,2024-09-14,15025.58,TED,,False,APP
f26b8c59-c283-4423-95d3-f1d00be584e4,7A96BC67-B9B,2024-11-05,21197.53,TED,79406358000179,False,POS
52adadc8-79b8-4aaf-8576-2ee38d1bd1e4,8D6257F2-0BC,2024-02-06,12738.8,TED,32059614000135,False,INTERNET
df563166-5013-46c5-9d82-2f998df7180f,A537C40F-9B5,2023-04-26,12372.95,SAQUE,07463912000149,False,POS
9ae2dbad-afee-4d6c-b9e6-b367fb955843,06B76CEE-1D6,2023-01-13,1776.69,TED,71486235000183,False,INTERNET
faa1be9b-c765-4b8d-b873-e8eab270a60f,10E2732C-E9F,2024-08-05,9671.88,PIX,56792830000153,False,INTERNET
4e9fab7d-e4e1-4c5d-ae51-e032794d79fa,48B2EBE6-D96,2023-03-16,19068.5,COMPRA,46907382000132,False,APP
3ab35bd1-0ad4-4c27-87b1-04e30821a4b7,976B6252-DC4,2023-02-10,6555.74,COMPRA,74239081000113,False,ATM
055f9077-9588-42ed-b21e-fcffd6875c91,1208ADB6-F71,2024-10-05,12666.01,ESTORNO,34916057000157,False,ATM
c1e8a7a5-d910-46f4-bc57-6f2f09b587df,C7EB1719-285,2024-02-16,10590.25,COMPRA,34210857000158,False,POS
480f24d4-bf87-4798-9055-28e37e86be1d,05B83F29-A94,2023-10-12,15401.75,COMPRA,51439027000116,False,POS
8cd85319-4973-47f6-bd68-d8e8eca090b0,B6B1F070-A8D,2023-06-09,23023.24,PAGAMENTO_BOLETO,04598321000190,False,POS
37000ac1-7ca0-4b6a-bbfe-4b6fd8ebfb23,8E476780-64B,2024-10-27,15857.9,ESTORNO,83175024000109,False,AGENCIA
45901ffa-ef63-4622-8231-ebd39a0faefc,3902F1F6-EBF,2023-09-02,17467.35,COMPRA,54261830000100,False,ATM
31566f18-a793-4530-82c4-6de301cb2e88,75EF2CEF-225,2024-09-18,2900.99,PAGAMENTO_BOLETO,23698510000180,False,INTERNET
f5e49a20-6f62-4209-bd98-aaf8421f369c,F88FDEB3-526,2024-12-25,2987.4,SAQUE,83197025000154,False,INTERNET
7a3c1ad7-d46e-4d8b-b119-510de72d8d1b,B15246BD-104,2023-12-22,12411.08,PAGAMENTO_BOLETO,24596378000168,False,AGENCIA
beecb3e2-7e65-4afb-8336-dd57e4dfa947,330D0315-9CF,2023-05-10,4175.32,ESTORNO,81340279000154,False,AGENCIA
83e0198d-07f8-4f43-81ca-f3102cefc207,FA97DD0B-390,2023-05-01,18323.8,COMPRA,45928376000107,False,ATM
be000652-91ee-4244-8feb-73005de8f5ad,3D6A8A02-684,2023-03-07,6800.61,TED,26508137000145,False,POS
62ab2292-2fc1-40cd-b42b-ab0718abb9d4,B2C8935E-159,2024-05-23,15688.88,PIX,84095123000143,False,APP
9af6b526-02d6-46a9-8ab5-47c4b0f5da1d,BBAEB98D-57E,2024-08-03,12491.0,SAQUE,56027489000140,False,AGENCIA
715f3709-48a9-4b69-93ae-901921999563,86AFF3D4-68D,2024-08-10,19333.56,ESTORNO,20761948000177,False,INTERNET
0b63e4a9-3b86-4329-8ea6-aab60ce5b3d9,A16D5C74-5C0,2023-01-03,18519.89,COMPRA,08734269000103,False,APP
8f2886f2-c8e3-4bc8-80fa-9dcfbbc81e28,28B623E7-B25,2024-04-28,6114.92,TED,24136907000140,False,INTERNET
16c8c2c0-96e7-4367-97d6-1bbc72e9c50d,542FDE83-A87,2023-02-06,4475.25,PAGAMENTO_BOLETO,59367024000126,False,ATM
b3a98018-fad9-4d17-ac35-590d2c9f0073,677F429C-354,2023-09-12,5614.05,PIX,56471980000165,False,AGENCIA
35dec408-3986-4d08-ba77-77907ed17454,E035A2E3-186,2023-03-21,6782.54,PAGAMENTO_BOLETO,35472916000129,False,POS
7513d715-042a-43e1-a998-ee1ff23bf998,E59DD6D4-E21,2023-02-23,16833.63,SAQUE,42091735000118,False,POS
ba4a5f11-e334-47e3-b8b5-b5ab34935fba,5C0F3CFD-4BA,2024-02-15,24535.37,COMPRA,67140352000113,False,AGENCIA
